area_key,area_vendor,report_year,report_total_sold,lb_total_sold,total_sold_match,report_days_on_market,lb_days_on_market,days_on_market_match,report_median_sale,lb_median_sale,median_sale_match,report_avg_list,lb_avg_list,avg_list_match,report_avg_sale,lb_avg_sale,avg_sale_match,report_list_ratio,lb_list_ratio,list_ratio_match,area_boundary_id,area_subtype,report_quarter
Houston-Oak Forest / Shepard Park Plaza Area,har,2019,723.0,1.0,0.0013831258644536604,80.0,50.0,0.625,385000.0,499900.0,0.7015584415584415,476427.0,499900.0,0.9507311718269535,455781.0,499900.0,0.9032013181769315,96.0,100.0,0.9583333333333334,61c4a4cfc44fc10007351a80,SingleFamilyResidence,4
Houston-Oak Forest / Shepard Park Plaza Area,har,2020,849.0,,,80.0,,,375000.0,,,502427.0,,,471723.0,,,94.0,,,61c4a4cfc44fc10007351a80,SingleFamilyResidence,4
Houston-Oak Forest / Shepard Park Plaza Area,har,2021,950.0,206.0,0.21684210526315795,59.0,38.0,0.6440677966101696,400000.0,409750.0,0.975625,508439.0,511538.0,0.993904873544319,495514.0,506224.0,0.978386079908943,97.0,99.0,0.979381443298969,61c4a4cfc44fc10007351a80,SingleFamilyResidence,4
Houston-Pearland,har,2018,2181.0,,,59.0,,,265000.0,,,290767.0,,,279241.0,,,96.0,,,6165de6aeeefc90008c103fb,SingleFamilyResidence,4
Houston-Pearland,har,2019,2042.0,,,64.0,,,270000.0,,,296617.0,,,284866.0,,,96.0,,,6165de6aeeefc90008c103fb,SingleFamilyResidence,4
Houston-Pearland,har,2020,2179.0,,,61.0,,,278000.0,,,302119.0,,,294434.0,,,97.0,,,6165de6aeeefc90008c103fb,SingleFamilyResidence,4
Houston-Pearland,har,2021,2150.0,519.0,0.24139534883720926,26.0,21.0,0.8076923076923077,323495.0,340000.0,0.9489791186880786,336278.0,355578.0,0.9426070096765177,338936.0,355589.0,0.9508668303160479,101.0,100.0,0.9900990099009901,6165de6aeeefc90008c103fb,SingleFamilyResidence,4
Houston-Porter / New Caney Area,har,2018,808.0,,,91.0,,,224450.0,,,248471.0,,,234941.0,,,95.0,,,61658ae79c1ab200087654f4,SingleFamilyResidence,4
Houston-Porter / New Caney Area,har,2019,917.0,,,94.0,,,225000.0,,,253464.0,,,238712.0,,,94.0,,,61658ae79c1ab200087654f4,SingleFamilyResidence,4
Houston-Porter / New Caney Area,har,2020,1187.0,,,93.0,,,228990.0,,,265789.0,,,253124.0,,,95.0,,,61658ae79c1ab200087654f4,SingleFamilyResidence,4
