_id,community_type,area_m,confidence,population,median_age,median_household_income,total_educated,unemployment_rate,country
56699b78dd4700202391c6c3,neighborhood,7643864.727654153,93.7424527372009,0,60,0,0,0,United States of America
56699c36dd4700202392054b,district,46801897.925689004,43.3431078720707,5,45,0,11,0.00569620253164557,United States of America
5900f919de629f1cc3abbcee,neighborhood,2190584.4472985715,46.1130361149065,1,48,0,1,0.122054168132255,United States of America
5a1c69eb3e8deb6c7853b191,district,24245701.25116929,87.0966463502814,5178,30,0,4427,0.15850144092219,United States of America
5ae088f6f4fa4900013e9ae5,neighborhood,613721.4924714684,71.8779412022892,1727,27,0,34,0.0137221269296741,United States of America
5afc49479198447316b5e0cf,zipcode,1752276.1331542018,51.62172628253694,6642,20,0,55,0.1385146804835924,United States
5afc4b2b9198447316b5e264,zipcode,175221687.78664687,9.64292086410994,309,30,0,190,0.08199643493761141,United States
5b044059fa43dbf35f45b4a4,zipcode,1144515.5571052264,22.047000888682778,576,25,0,507,0.09337134711332858,United States
5b0445630d7aa2f496ddc60f,zipcode,80030271.11298724,36.997867591816224,182,59,0,188,0.13349514563106796,United States
5b10574bc2ee0f8b8ba8387d,zipcode,124865426.11573674,31.693435710125627,2074,22,0,123,0.13333333333333333,United States
5b16f3e51d5e6eda6720c954,zipcode,254316.7814390265,20.777716707121037,775,21,0,177,0.22820037105751392,United States
