_id,community_type,area_m,confidence,population,median_age,median_household_income,total_educated,unemployment_rate,country
5afb283f74fe1b4814b02ba5,community,72339.59852206262,100,69,0,,5,0,United States of America
5e78a6a277d38141186533fa,compositeCommunity,72339.59852206262,100,69,0,,5,0,United States of America
